ID;Jour;Heure;Mode;Direction;Frequence;Motif_deplacement;Motif_dep_commentaires;Raison_plus_direct_plus_pratique;Raison_plus_agreable;Raison_moins_voiture;Raison_habitude;Raison_autre;Raison_autre_commentaire_libre;Sentiment_securite;Perception_risque_collision_pietons_cyclistes;Confort_rarement_gene_autres_usagers;Confort_lisibilite_positionnement;Perception_tensions;Cohabitation_agreable;Explication_ressenti_raison_1;Explication_ressenti_raison_2;Explication_ressenti_raison_3;Explication_ressenti_raison_4;Explication_ressenti_raison_5;Situations_evitement_axe;Evitement_quand;Evitement_pourquoi;Usagers_genants_cyclistes;Usagers_genants_livreurs_velo;Usagers_genants_pietons;Usagers_genants_trottinettes;Usagers_genants_voitures;Usagers_genants_camionnettes;Usagers_genants_autres;Usagers_genants_autres_commentaire_libre;Qualificatif_1;Qualificatif_2;Qualificatif_3;Genre;Age
P159;29/04/25;14:50;pietons;vers corbeau;tous les jours;travail/etudes;;oui;oui;null;null;null;;pas du tout d'accord;tout a fait d'accord;tout a fait d'accord;pas du tout d'accord;tout a fait d'accord;pas du tout d'accord;amenagement - ;absence de separation;;;;oui;;changer de chemin;oui;oui;null;null;null;null;null;;mal amenage;arbore;;ne sait pas;ne sait pas 
P160;29/04/25;14:52;pietons;vers corbeau;toutes les semaines;activites/loisirs;;null;oui;null;null;null;;tout a fait d'accord;pas du tout d'accord;pas du tout d'accord;plutot d'accord;plutot d'accord;plutot d'accord;comportement - ;manque d'attention pietons;;;;non;;;null;null;null;null;null;null;null;;agreable ;facile ;accessibilite commerces;femme;20-40
P161;29/04/25;14:55;pietons;sans reponse;premiere fois;autre;tourisme;null;oui;null;null;null;;tout a fait d'accord;pas du tout d'accord;pas du tout d'accord;tout a fait d'accord;plutot d'accord;plutot d'accord;densite frequentation +;bon equilibre pietons cyclistes;;;;non-concerne;;;null;null;null;null;null;null;null;;magnifique;commerce;;ne sait pas;ne sait pas 
P162;29/04/25;14:57;pietons;vers corbeau;tous les jours;promenade;;null;oui;null;null;null;;plutot d'accord;plutot d'accord;pas du tout d'accord;plutot pas d'accord;plutot d'accord;plutot d'accord;amenagement +;amenagements bien adaptes;;;;oui;manifestation;;null;null;null;null;null;null;null;;agreable;securise;;femme;60 et plus
P163;29/04/25;15:00;pietons;vers gallia;tous les jours;travail/etudes;;null;oui;null;null;null;;pas du tout d'accord;tout a fait d'accord;pas du tout d'accord;plutot d'accord;tout a fait d'accord;pas du tout d'accord;densite frequentation - ;absence de separation;manque de signaletique;trop de monde en general;;non;;;oui;null;null;oui;null;null;oui;electrique;agreable;pratique;;ne sait pas;60 et plus
P164;29/04/25;15:00;pietons;vers gallia;tous les jours;promenade;;null;oui;null;null;null;;plutot pas d'accord;tout a fait d'accord;pas du tout d'accord;pas du tout d'accord;tout a fait d'accord;pas du tout d'accord;amenagement - ;obstacles amenagement (arbres, bancs…);absence de separation;;;non;;;null;null;null;null;null;null;null;;agreable;vigilent;securite;femme;20-40
P165;29/04/25;15:00;pietons;vers gallia;moins souvent;activites/loisirs;;oui;null;null;null;null;;plutot d'accord;plutot d'accord;plutot d'accord;pas du tout d'accord;pas du tout d'accord;plutot d'accord;amenagement - ;absence de separation;obstacles amenagement (arbres, bancs…);;;non;;;null;null;null;null;null;null;null;;chaleureux;vivant;;homme;moins de 20
P166;29/04/25;15:00;pietons;sans reponse;tous les jours;promenade;;null;oui;oui;oui;null;;plutot d'accord;tout a fait d'accord;plutot pas d'accord;tout a fait d'accord;plutot d'accord;plutot pas d'accord;comportement - ;vitesse cyclistes;conflits/tensions/peur;;;non;;;null;null;null;null;null;null;null;;agreable;adapte;;homme;60 et plus
P167;29/04/25;15:00;pietons;sans reponse;toutes les semaines;promenade;;null;oui;oui;null;null;;plutot d'accord;plutot pas d'accord;pas du tout d'accord;plutot pas d'accord;pas du tout d'accord;plutot d'accord;comportement + ;bon equilibre pietons cyclistes;;;;non;;;null;null;null;null;null;null;null;;facile;surchage;agreable;femme;20-40
P168;29/04/25;15:03;pietons;vers gallia;toutes les semaines;promenade;;null;oui;null;null;null;;plutot d'accord;pas du tout d'accord;pas du tout d'accord;tout a fait d'accord;plutot pas d'accord;tout a fait d'accord;amenagement - ;absence de separation;;;;non;;;null;null;null;null;null;null;null;;agreable;libre;vaste;homme;20-40
P169;29/04/25;15:05;pietons;vers gallia;tous les jours;travail/etudes;;oui;null;null;null;null;;plutot d'accord;plutot d'accord;tout a fait d'accord;plutot d'accord;pas du tout d'accord;plutot d'accord;comportement - ;vitesse cyclistes;;;;oui;manifestation;;null;null;null;null;null;null;null;;agreable;pratique;rapide;homme;20-40
P170;29/04/25;15:10;pietons;vers gallia;toutes les semaines;travail/etudes;;null;oui;null;oui;null;;plutot d'accord;plutot d'accord;pas du tout d'accord;plutot d'accord;plutot d'accord;sans reponse;comportement - ;espace assez large;vitesse cyclistes;;;non;;;null;null;null;null;null;null;null;;balade;anime;calme;homme;moins de 20
P171;29/04/25;15:10;pietons;vers corbeau;tous les jours;travail/etudes;;oui;null;null;null;null;;tout a fait d'accord;plutot pas d'accord;pas du tout d'accord;tout a fait d'accord;plutot d'accord;plutot d'accord;amenagement - ;absence de separation;;;;non;;;null;null;null;null;null;null;null;;sympathique;jolie;securise;homme;20-40
P172;29/04/25;15:15;pietons;sans reponse;toutes les semaines;activites/loisirs;;null;oui;null;null;null;;plutot d'accord;plutot pas d'accord;pas du tout d'accord;pas du tout d'accord;pas du tout d'accord;plutot d'accord;amenagement - ;absence de separation;espace assez large;vitesse cyclistes;;non;;;null;null;null;null;null;null;null;;agreable;ecologique;beau;femme;40-60
P173;29/04/25;15:25;pietons;vers gallia;toutes les semaines;activites/loisirs;;null;null;oui;null;null;;plutot d'accord;plutot d'accord;pas du tout d'accord;plutot pas d'accord;plutot d'accord;plutot d'accord;densite frequentation - ;trop de monde en general;;;;non;;;null;null;null;null;null;null;null;;promenade;agreable;estival;homme;20-40
P174;29/04/25;15:30;pietons;vers corbeau;premiere fois;promenade;;null;null;null;null;oui;pour aller sur une berge;tout a fait d'accord;plutot d'accord;pas du tout d'accord;tout a fait d'accord;pas du tout d'accord;tout a fait d'accord;densite frequentation +;trop de monde en general;;;;non-concerne;;;null;null;null;null;null;null;null;;tranquille;detente;lenteur;homme;moins de 20
P175;29/04/25;15:30;pietons;sans reponse;moins souvent;activites/loisirs;;null;oui;null;oui;null;;plutot d'accord;tout a fait d'accord;plutot pas d'accord;plutot pas d'accord;plutot pas d'accord;plutot d'accord;comportement - ;vitesse cyclistes;conflits/tensions/peur;probleme avec les vehicule electrique (trotinettes,velos);;oui;samedi apres-midi;trop frequente;oui;null;null;oui;null;null;null;;agreable;stressant;bien pense;femme;60 et plus
P176;29/04/25;15:30;pietons;vers gallia;tous les jours;travail/etudes;;null;oui;null;null;null;;tout a fait d'accord;plutot d'accord;plutot pas d'accord;pas du tout d'accord;plutot d'accord;plutot d'accord;comportement - ;absence de separation;;;;non;;;null;null;null;null;null;null;null;;agreable;mal organise;;homme;20-40
P177;29/04/25;15:31;pietons;vers corbeau;tous les jours;activites/loisirs;;oui;null;null;null;null;;tout a fait d'accord;plutot d'accord;plutot d'accord;plutot pas d'accord;pas du tout d'accord;tout a fait d'accord;;;;;;oui;manifestation;trop frequente;null;null;oui;null;null;null;oui;touristes;beau;attentif;vivre ensemble compliqe;femme;60 et plus
P178;29/04/25;15:35;pietons;vers corbeau;tous les jours;travail/etudes;;null;null;null;oui;null;;tout a fait d'accord;plutot pas d'accord;plutot pas d'accord;tout a fait d'accord;plutot d'accord;tout a fait d'accord;amenagement +;espace assez large;;;;non;;;null;null;null;null;null;null;null;;anime;calme;souriante;femme;moins de 20
P179;29/04/25;15:40;pietons;vers gallia;tous les jours;promenade;;null;oui;null;null;null;;plutot d'accord;tout a fait d'accord;plutot pas d'accord;pas du tout d'accord;tout a fait d'accord;plutot d'accord;amenagement - ;espace assez large;absence de separation;;;non;;;null;null;null;null;null;null;null;;agreable ;beau;sympa;homme;20-40
P180;29/04/25;15:40;pietons;vers gallia;tous les jours;travail/etudes;;null;null;null;null;null;;plutot pas d'accord;tout a fait d'accord;plutot pas d'accord;plutot d'accord;plutot d'accord;tout a fait d'accord;comportement - ;vitesse cyclistes;vitesse livreurs a velo;;;non;;;null;null;null;null;null;null;null;;beau;calme;apaisant;homme;20-40
P181;29/04/25;15:42;pietons;vers gallia;tous les jours;activites/loisirs;;oui;null;null;oui;null;;tout a fait d'accord;tout a fait d'accord;pas du tout d'accord;tout a fait d'accord;plutot pas d'accord;plutot d'accord;comportement - ;conflits/tensions/peur;;;;oui;meteo agreable;trop frequente;null;null;oui;null;null;null;oui;grands groupes;agreable;calme;attentionne;homme;20-40
P182;29/04/25;15:45;pietons;vers gallia;tous les jours;promenade;;oui;null;null;null;null;;plutot d'accord;pas du tout d'accord;pas du tout d'accord;plutot pas d'accord;plutot d'accord;plutot d'accord;comportement + ;tout le monde se respecte;espace assez large;;;non;;;null;null;null;null;null;null;null;;agreable;tranquille ;anime;ne sait pas;ne sait pas 
P183;29/04/25;15:50;pietons;vers gallia;moins souvent;promenade;;null;oui;null;null;oui;place pour le fauteuil roulant;tout a fait d'accord;pas du tout d'accord;pas du tout d'accord;tout a fait d'accord;pas du tout d'accord;tout a fait d'accord;densite frequentation +;bon equilibre pietons cyclistes;;;;non;;;null;null;null;null;null;null;null;;a l'aise;soleil;agreable;femme;60 et plus
P184;29/04/25;15:55;pietons;vers corbeau;moins souvent;promenade;;null;oui;null;null;null;;tout a fait d'accord;plutot d'accord;pas du tout d'accord;tout a fait d'accord;pas du tout d'accord;plutot pas d'accord;comportement - ;comportement derangeant cyclistes;;;;non;;;null;null;null;null;null;null;null;;attentif;agreable;ensoleille;femme;60 et plus
P185;29/04/25;15:55;pietons;vers gallia;moins souvent;activites/loisirs;;null;null;null;null;oui;parking;pas du tout d'accord;tout a fait d'accord;tout a fait d'accord;pas du tout d'accord;plutot pas d'accord;plutot pas d'accord;amenagement - ;vitesse cyclistes;absence de separation;;;oui;entre 12h-14h;;oui;null;null;null;null;null;null;;agreable;dangereux;pietonnier;homme;40-60
P186;29/04/25;16:00;pietons;sans reponse;toutes les semaines;promenade;;null;oui;null;null;null;;plutot d'accord;plutot d'accord;pas du tout d'accord;plutot pas d'accord;plutot pas d'accord;tout a fait d'accord;densite frequentation - ;trop de monde en general;vitesse cyclistes;;;non;;;null;oui;null;oui;null;null;oui;electrique;touristique;calme;agreable;ne sait pas;moins de 20
P187;29/04/25;16:00;pietons;sans reponse;moins souvent;promenade;;null;oui;oui;null;null;;plutot d'accord;plutot d'accord;plutot d'accord;plutot d'accord;plutot d'accord;pas du tout d'accord;comportement - ;vitesse cyclistes;;;;non;;;null;null;null;null;null;null;null;;agreable;;;femme;40-60
P188;29/04/25;16:00;pietons;vers corbeau;tous les jours;promenade;;null;oui;null;null;null;;pas du tout d'accord;tout a fait d'accord;tout a fait d'accord;tout a fait d'accord;tout a fait d'accord;pas du tout d'accord;comportement - ;vitesse cyclistes;manque de signaletique;;;non;;;null;null;null;null;null;null;null;;aventuriere;hasardeuse;inquiete;femme;60 et plus
P189;29/04/25;16:00;pietons;vers gallia;toutes les semaines;activites/loisirs;;oui;oui;null;null;null;;plutot d'accord;plutot d'accord;plutot pas d'accord;pas du tout d'accord;plutot d'accord;plutot pas d'accord;amenagement - ;absence de separation;comportement derangeant cyclistes;;;non;;;null;null;null;null;null;null;null;;agreablee;pratique;un peu chaotique;homme;20-40
P190;29/04/25;16:15;pietons;vers gallia;tous les jours;promenade;;oui;null;null;null;null;;plutot pas d'accord;plutot d'accord;pas du tout d'accord;pas du tout d'accord;pas du tout d'accord;plutot pas d'accord;amenagement - ;vitesse cyclistes;absence de separation;;;non;;;null;null;null;null;null;null;null;;agreable;reveur;stressant;femme;40-60
P191;29/04/25;16:15;pietons;vers gallia;toutes les semaines;promenade;;null;oui;null;null;null;;plutot pas d'accord;plutot d'accord;pas du tout d'accord;plutot pas d'accord;plutot pas d'accord;plutot pas d'accord;comportement - ;aggresivite cyclistes;comportement derangeant cyclistes;;;non;;;oui;null;null;null;null;null;oui;electrique;calme;beau;vacances;femme;40-60
P192;29/04/25;16:16;pietons;vers corbeau;tous les jours;travail/etudes;;oui;null;null;null;null;;plutot pas d'accord;tout a fait d'accord;plutot d'accord;plutot pas d'accord;plutot pas d'accord;pas du tout d'accord;comportement - ;vitesse cyclistes;vitesse livreurs a velo;;;non;;;null;null;null;null;null;null;null;;agreable;pas secure ac enfants;fleuri;homme;40-60
P193;29/04/25;16:20;pietons;vers corbeau;tous les jours;autre;reunion;oui;null;null;null;null;;pas du tout d'accord;tout a fait d'accord;plutot d'accord;pas du tout d'accord;tout a fait d'accord;pas du tout d'accord;comportement - ;conflits/tensions/peur;;;;non;;;oui;oui;null;oui;null;null;oui;electrique;chao;pas de consideration;manifestation;homme;60 et plus
P194;29/04/25;16:20;pietons;vers corbeau;tous les jours;travail/etudes;;null;null;null;null;oui;habitation;plutot pas d'accord;plutot d'accord;pas du tout d'accord;ne sait pas;tout a fait d'accord;plutot pas d'accord;comportement - ;conflits/tensions/peur;;;;non;;;null;null;null;null;oui;null;oui;electrique;agreable;destructure;bruyant;femme;40-60
P195;29/04/25;16:20;pietons;vers gallia;tous les jours;travail/etudes;;oui;null;null;null;null;;pas du tout d'accord;tout a fait d'accord;plutot pas d'accord;pas du tout d'accord;tout a fait d'accord;pas du tout d'accord;comportement + ;conflits/tensions/peur;;;;non;;;null;null;null;null;null;null;null;;malheureux;triste;colere;femme;60 et plus
P196;29/04/25;16:21;pietons;vers corbeau;moins souvent;promenade;;null;null;null;null;oui;commodite;plutot d'accord;tout a fait d'accord;plutot d'accord;plutot d'accord;tout a fait d'accord;plutot d'accord;amenagement - ;comportement derangeant cyclistes;absence de separation;;;oui;;trop frequente;null;null;null;null;null;null;null;;beau;arbre;affluence;ne sait pas;20-40
P197;29/04/25;16:30;pietons;vers corbeau;toutes les semaines;activites/loisirs;;null;oui;oui;null;null;;pas du tout d'accord;tout a fait d'accord;tout a fait d'accord;pas du tout d'accord;tout a fait d'accord;pas du tout d'accord;comportement - ;absence de separation;comportement derangeant cyclistes;;;non;;aime le paysage;oui;null;null;null;null;null;null;;agacee;genee;;femme;60 et plus
P198;29/04/25;16:34;pietons;vers corbeau;tous les jours;promenade;;null;null;null;oui;null;;pas du tout d'accord;tout a fait d'accord;tout a fait d'accord;pas du tout d'accord;tout a fait d'accord;pas du tout d'accord;amenagement - ;absence de separation;vitesse livreurs a velo;obstacles amenagement (arbres, bancs…);;non;;;null;null;null;null;null;null;null;;agreable;vigilent;dangereux;homme;40-60
P199;29/04/25;16:37;pietons;vers gallia;premiere fois;activites/loisirs;;oui;null;null;null;null;;tout a fait d'accord;plutot d'accord;pas du tout d'accord;tout a fait d'accord;pas du tout d'accord;tout a fait d'accord;amenagement +;amenagements bien adaptes;;;;non-concerne;;;null;null;null;null;null;null;null;;aere;convivial;vert;homme;20-40
P200;29/04/25;16:40;pietons;sans reponse;toutes les semaines;promenade;;null;oui;null;null;null;;tout a fait d'accord;plutot d'accord;plutot d'accord;plutot d'accord;tout a fait d'accord;tout a fait d'accord;;;;;;non;;;null;null;null;null;null;null;null;;agreable;;;homme;20-40
P201;29/04/25;16:40;pietons;vers corbeau;moins souvent;promenade;;oui;oui;oui;null;null;;tout a fait d'accord;pas du tout d'accord;pas du tout d'accord;plutot d'accord;pas du tout d'accord;plutot d'accord;densite frequentation +;bon equilibre pietons cyclistes;;;;non;;;null;null;null;null;null;null;null;;agreable;en securite;plaisir;femme;20-40
P202;29/04/25;16:45;pietons;sans reponse;tous les jours;travail/etudes;;oui;null;oui;null;null;;plutot pas d'accord;tout a fait d'accord;plutot d'accord;plutot pas d'accord;tout a fait d'accord;pas du tout d'accord;comportement - ;comportement derangeant cyclistes;conflits/tensions/peur;;;oui;weekend;trop de cyclistes;oui;null;null;null;null;null;null;;agreable;divertissant;;femme;60 et plus
P203;29/04/25;16:45;pietons;vers corbeau;tous les jours;travail/etudes;;oui;null;null;null;null;;plutot d'accord;plutot d'accord;pas du tout d'accord;plutot d'accord;plutot pas d'accord;plutot pas d'accord;comportement - ;trop de cyclistes;probleme avec les vehicule electrique (trotinettes,velos);;;non;;;null;null;null;null;null;null;null;;formidable;agreable;;femme;60 et plus
P204;29/04/25;16:45;pietons;vers gallia;toutes les semaines;promenade;;null;oui;null;null;null;;plutot d'accord;tout a fait d'accord;plutot d'accord;pas du tout d'accord;plutot pas d'accord;plutot pas d'accord;comportement - ;comportement derangeant cyclistes;;;;oui;;plus rapide;oui;oui;null;oui;oui;oui;null;;frustrant;agreable;pittoresque;homme;20-40
P205;29/04/25;16:50;pietons;vers corbeau;toutes les semaines;activites/loisirs;;null;oui;null;null;null;;plutot d'accord;tout a fait d'accord;pas du tout d'accord;pas du tout d'accord;plutot d'accord;plutot d'accord;amenagement - ;probleme avec les voitures/camionnettes ;obstacles amenagement (arbres, bancs…);bon equilibre pietons cyclistes;;je ne sais pas ;quand il y a du monde;;null;null;null;null;oui;null;null;;buccolique;jovial;soleil;ne sait pas;20-40
P206;29/04/25;16:50;pietons;sans reponse;moins souvent;activites/loisirs;;null;oui;null;null;null;;plutot d'accord;plutot pas d'accord;pas du tout d'accord;plutot pas d'accord;pas du tout d'accord;plutot d'accord;amenagement - ;absence de separation;;;;non;;;null;null;null;null;null;null;null;;relaxant;buccolique;agreable;femme;moins de 20
P207;29/04/25;16:50;pietons;vers gallia;tous les jours;activites/loisirs;;oui;oui;null;null;null;;tout a fait d'accord;pas du tout d'accord;plutot d'accord;tout a fait d'accord;plutot d'accord;tout a fait d'accord;comportement - ;probleme avec les voitures/camionnettes ;;;;non;;;null;null;null;null;null;null;null;;attractif;;;homme;40-60
P208;29/04/25;16:54;pietons;vers gallia;premiere fois;activites/loisirs;;null;oui;null;null;null;;plutot d'accord;plutot d'accord;plutot d'accord;plutot pas d'accord;pas du tout d'accord;plutot d'accord;amenagement +;absence de separation;;;;non-concerne;;;null;null;null;null;null;null;null;;agreable;mitige;conflictuel;ne sait pas;20-40
P209;29/04/25;16:55;pietons;vers corbeau;premiere fois;promenade;;oui;null;null;null;null;;tout a fait d'accord;plutot pas d'accord;pas du tout d'accord;tout a fait d'accord;ne sait pas;tout a fait d'accord;densite frequentation +;bon equilibre pietons cyclistes;;;;non-concerne;;;null;null;null;null;null;null;null;;agreable;calme;;ne sait pas;ne sait pas 
P210;29/04/25;16:57;pietons;vers corbeau;tous les jours;activites/loisirs;;oui;oui;null;null;null;;pas du tout d'accord;tout a fait d'accord;pas du tout d'accord;tout a fait d'accord;tout a fait d'accord;pas du tout d'accord;comportement - ;comportement derangeant cyclistes;absence de separation;;;non;;;null;null;null;null;null;null;null;;pas flaner;genial;beau;femme;40-60
P211;29/04/25;17:00;pietons;vers gallia;toutes les semaines;activites/loisirs;;null;oui;null;null;null;;tout a fait d'accord;plutot pas d'accord;plutot pas d'accord;plutot d'accord;plutot d'accord;plutot d'accord;densite frequentation +;bon equilibre pietons cyclistes;;;;non;;;null;null;null;null;null;null;null;;agreable;touristique;;homme;60 et plus
P212;29/04/25;17:00;pietons;vers corbeau;tous les jours;travail/etudes;;oui;null;null;null;null;;plutot pas d'accord;plutot d'accord;plutot d'accord;pas du tout d'accord;plutot pas d'accord;plutot pas d'accord;amenagement - ;absence de separation;;;;non;;;null;null;null;null;null;null;null;;attentif;anime;;femme;20-40
P213;29/04/25;17:05;pietons;sans reponse;tous les jours;travail/etudes;;null;null;null;oui;null;;tout a fait d'accord;plutot pas d'accord;pas du tout d'accord;plutot d'accord;pas du tout d'accord;tout a fait d'accord;comportement - ;conflits/tensions/peur;;;;non;;;null;null;null;null;null;null;null;;beau;bcp magasin;souvenirs;femme;moins de 20
P214;29/04/25;17:15;pietons;vers corbeau;toutes les semaines;promenade;;null;oui;null;null;null;;plutot pas d'accord;tout a fait d'accord;pas du tout d'accord;pas du tout d'accord;plutot pas d'accord;plutot pas d'accord;amenagement - ;absence de separation;;;;non;;;null;null;null;oui;null;null;null;;bcp velo;peu civilises;;femme;moins de 20
P215;29/04/25;17:22;pietons;vers corbeau;toutes les semaines;promenade;;null;oui;null;null;null;;tout a fait d'accord;tout a fait d'accord;pas du tout d'accord;tout a fait d'accord;tout a fait d'accord;pas du tout d'accord;;;;;;non;;;oui;null;null;null;null;null;null;;agreable;douce;calme;homme;ne sait pas 
P216;29/04/25;17:26;pietons;vers gallia;toutes les semaines;activites/loisirs;;null;oui;null;null;null;;tout a fait d'accord;plutot d'accord;plutot pas d'accord;plutot pas d'accord;tout a fait d'accord;plutot pas d'accord;;;;;;non;;;null;null;null;null;null;null;null;;agreable;deco noel;calme;femme;60 et plus
P217;29/04/25;17:30;pietons;vers gallia;tous les jours;promenade;;oui;oui;null;oui;null;;pas du tout d'accord;tout a fait d'accord;plutot d'accord;ne sait pas;tout a fait d'accord;plutot pas d'accord;comportement - ;comportement derangeant cyclistes;vitesse cyclistes;conflits/tensions/peur;;non;;;null;oui;null;oui;oui;null;null;;stressant;agreable;peur velo electrique;homme;60 et plus
P218;29/04/25;17:30;pietons;vers corbeau;tous les jours;activites/loisirs;;null;oui;oui;null;null;;plutot d'accord;plutot d'accord;pas du tout d'accord;plutot d'accord;plutot d'accord;plutot d'accord;comportement;vitesse cyclistes;manque d'attention pietons;;;oui;;;null;null;null;null;null;null;null;;agreable;convivial;arbore-paisible;femme;60 et plus
P219;29/04/25;17:34;pietons;vers corbeau;tous les jours;activites/loisirs;;null;oui;null;null;null;;plutot pas d'accord;plutot pas d'accord;plutot d'accord;plutot d'accord;pas du tout d'accord;pas du tout d'accord;amenagement - ;trop de monde en general;absence de separation;;;non;;;null;null;null;null;null;null;null;;agreable;semi dangereuse;plaisant;homme;20-40
P220;29/04/25;17:40;pietons;sans reponse;tous les jours;promenade;;oui;oui;oui;oui;null;;plutot pas d'accord;tout a fait d'accord;pas du tout d'accord;plutot d'accord;tout a fait d'accord;pas du tout d'accord;comportement;trop de monde en general;vitesse cyclistes;absence de separation;;oui;apres-midi;;oui;null;null;oui;null;null;null;;magnifique;pourrait etre plus calme;;femme;60 et plus
P221;29/04/25;17:45;pietons;vers corbeau;tous les jours;autre;habitation;oui;oui;null;null;null;;pas du tout d'accord;tout a fait d'accord;plutot d'accord;pas du tout d'accord;pas du tout d'accord;pas du tout d'accord;comportement - ;probleme avec les voitures/camionnettes ;comportement derangeant cyclistes;;;non;;;null;null;null;null;null;null;null;;agreable;manque d'ombre;anime;femme;40-60
P222;29/04/25;17:45;pietons;vers corbeau;tous les jours;travail/etudes;;oui;oui;null;null;null;;plutot d'accord;tout a fait d'accord;pas du tout d'accord;plutot pas d'accord;plutot pas d'accord;pas du tout d'accord;comportement - ;vitesse cyclistes;;;;non;;;null;null;null;null;null;null;null;;anime;stressant;agreable;homme;20-40
P223;29/04/25;17:50;pietons;sans reponse;toutes les semaines;activites/loisirs;;null;oui;null;null;null;;plutot d'accord;pas du tout d'accord;pas du tout d'accord;tout a fait d'accord;pas du tout d'accord;plutot d'accord;amenagement +;espace assez large;amenagements bien adaptes;vitesse cyclistes;;non;;;null;null;null;null;null;null;null;;agreable ;charmant;vivant;femme;20-40
P224;29/04/25;17:52;pietons;vers corbeau;tous les jours;autre;habitation;oui;null;null;null;null;;plutot pas d'accord;plutot d'accord;plutot d'accord;tout a fait d'accord;plutot d'accord;plutot d'accord;densite frequentation - ;trop de monde en general;;;;non;;;null;null;null;null;null;null;null;;agreable;convivial;bonne animation ;homme;40-60
P225;29/04/25;17:55;pietons;vers gallia;tous les jours;activites/loisirs;;null;oui;null;oui;null;;plutot pas d'accord;plutot d'accord;plutot d'accord;plutot pas d'accord;plutot d'accord;pas du tout d'accord;amenagement - ;manque de signaletique;;;;non;;;null;null;null;null;null;null;null;;agreable;convivial;decouverte;femme;60 et plus
P226;29/04/25;18:00;pietons;vers gallia;toutes les semaines;activites/loisirs;;oui;null;null;null;oui;librairie;plutot d'accord;plutot d'accord;plutot d'accord;plutot d'accord;tout a fait d'accord;plutot pas d'accord;densite frequentation - ;manque d'attention pietons;;;;oui;quand il y a du monde;;null;null;null;null;null;null;oui;flux en general;agreable;dense;ensoleille;femme;20-40
P227;29/04/25;18:00;pietons;vers corbeau;moins souvent;activites/loisirs;;null;oui;oui;null;null;;plutot pas d'accord;tout a fait d'accord;ne sait pas;tout a fait d'accord;plutot pas d'accord;pas du tout d'accord;densite frequentation - ;vitesse cyclistes;trop de monde en general;;;non;;;null;null;null;null;null;null;null;;insecurite;calme;agreable;femme;40-60
P228;29/04/25;18:09;pietons;vers corbeau;tous les jours;promenade;;null;oui;null;null;null;;plutot d'accord;tout a fait d'accord;plutot pas d'accord;pas du tout d'accord;plutot d'accord;plutot d'accord;amenagement - ;absence de separation;;;;non;;;null;null;null;null;null;null;null;;agreable;cela bouge;anime;homme;20-40
P229;29/04/25;18:15;pietons;sans reponse;toutes les semaines;travail/etudes;;null;oui;null;null;null;;plutot d'accord;tout a fait d'accord;plutot d'accord;tout a fait d'accord;plutot d'accord;plutot d'accord;comportement + ;comportement derangeant cyclistes;;;;non;;;null;null;null;null;null;null;null;;ensoleille;alcoolise;agreable;ne sait pas;ne sait pas 
P230;29/04/25;18:17;pietons;sans reponse;tous les jours;promenade;;oui;null;null;oui;null;;pas du tout d'accord;tout a fait d'accord;plutot pas d'accord;pas du tout d'accord;tout a fait d'accord;pas du tout d'accord;comportement - ;vitesse cyclistes;comportement derangeant cyclistes;probleme avec les voitures/camionnettes ;;non;;;null;null;null;null;null;null;null;;aggresivite;irrespect;;femme;40-60
P231;29/04/25;18:20;pietons;sans reponse;toutes les semaines;promenade;;null;oui;null;null;oui;ombre;pas du tout d'accord;tout a fait d'accord;plutot d'accord;plutot d'accord;plutot pas d'accord;pas du tout d'accord;amenagement +;comportement derangeant cyclistes;;;;oui;meteo agreable;trop frequente;oui;null;null;null;null;null;null;;insatisfaite;apprehension;joli;femme;60 et plus
P232;29/04/25;18:30;pietons;vers gallia;moins souvent;activites/loisirs;;null;oui;oui;null;null;;plutot d'accord;plutot d'accord;plutot pas d'accord;pas du tout d'accord;plutot pas d'accord;plutot d'accord;amenagement - ;absence de separation;;;;non;;;null;null;null;null;null;null;null;;agreable;calme;serein;femme;20-40
P233;29/04/25;18:30;pietons;sans reponse;tous les jours;travail/etudes;;oui;null;null;oui;null;;plutot pas d'accord;tout a fait d'accord;plutot d'accord;pas du tout d'accord;plutot d'accord;plutot pas d'accord;amenagement - ;vitesse livreurs a velo;absence de separation;;;non;;;null;oui;null;oui;null;null;oui;electrique;agreable;stressant;;femme;20-40
P234;29/04/25;18:30;pietons;vers gallia;toutes les semaines;activites/loisirs;;null;null;null;null;oui;illisible;tout a fait d'accord;pas du tout d'accord;pas du tout d'accord;tout a fait d'accord;plutot d'accord;tout a fait d'accord;amenagement +;espace assez large;tout le monde se respecte;;;non;;;null;null;null;null;null;null;null;;convivial;densifie;agreable;homme;60 et plus
P235;29/04/25;18:33;pietons;vers corbeau;toutes les semaines;activites/loisirs;;null;oui;null;null;null;;pas du tout d'accord;tout a fait d'accord;tout a fait d'accord;pas du tout d'accord;tout a fait d'accord;pas du tout d'accord;comportement - ;conflits/tensions/peur;probleme avec les vehicule electrique (trotinettes,velos);;;non;;;null;null;null;null;null;null;null;;insecurite;;;femme;40-60
P236;29/04/25;18:37;pietons;vers corbeau;moins souvent;promenade;;null;null;null;null;oui;n'a pas fait attention;plutot d'accord;pas du tout d'accord;pas du tout d'accord;ne sait pas;plutot pas d'accord;plutot d'accord;;;;;;non;;;null;null;null;null;null;null;null;;dense ;ensoleille;agreable;femme;20-40
